# Constructed from biom file
#OTU ID	16S-even	16s-mock-even-insilico-v2	16s-mock-staggered-insilico-v2	16S-stag	18S-stag	BLANK	F059	F067	F075	F076	F080	F095	F096	F100	F104	F105	F106	F107	F109	F111	F135	F141	F143	F145	F60	F69	F78	F79	F87	unknown	taxonomy
86cd70d2450e3f44f4a7c543f53008ee	13363.0	10.0	300.0	11504.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
ffff43da189c8f5c5a5226237adf1b23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa
34f1cadaab104aa231c079cbc0ef050b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	6.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902; Ambiguous_taxa
7d7ff1c54289c9daff337b733aa9b344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria
333b8b54e88aa3353756fea6269cab32	0.0	0.0	0.0	0.0	0.0	0.0	40.0	48.0	0.0	35.0	93.0	49.0	36.0	74.0	32.0	56.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	134.0	148.0	15.0	0.0	46.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae
0e4a95f50009ede9d68b1ec4f2c67684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
e2f51f019e9a31b9c3c93e93a2e4b0cb	0.0	0.0	0.0	0.0	0.0	0.0	217.0	215.0	142.0	182.0	520.0	105.0	135.0	358.0	159.0	292.0	271.0	62.0	0.0	71.0	99.0	54.0	46.0	0.0	260.0	459.0	0.0	0.0	197.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902
4f47b02c9c587975462932dce3a67c93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Melainabacteria; D_3__Caenarcaniphilales; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
8a7770a79bae52153ac364cdd371475d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
fa8f56301d871fa3b051479131fd3e4c	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	32.0	25.0	24.0	0.0	0.0	0.0	0.0	22.0	0.0	24.0	36.0	0.0	0.0	19.0	0.0	0.0	47.0	36.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
695bea8ab774f7c1399165d4ed57ee83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902; Ambiguous_taxa
1b3de43da43a9830fdeab8bb23a7c161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
12265c6aca2928c2bc9fe71988816516	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	22.0	31.0	181.0	39.0	36.0	40.0	160.0	160.0	99.0	14.0	81.0	18.0	4.0	0.0	39.0	0.0	0.0	96.0	18.0	0.0	58.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Nostocales; D_4__Phormidiaceae; D_5__Trichodesmium IMS101; Ambiguous_taxa
5cadb906e927ec37f15cd2b07b7d9da3	0.0	0.0	0.0	0.0	0.0	0.0	363.0	451.0	131.0	186.0	320.0	229.0	334.0	149.0	230.0	114.0	294.0	133.0	238.0	171.0	144.0	178.0	0.0	0.0	335.0	202.0	394.0	0.0	245.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
ec69580241158aad3f12477e91f7f503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Melainabacteria; D_3__Vampirovibrionales; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
7a1011dfbc8b253cb0032a00e74454e9	0.0	0.0	0.0	0.0	0.0	0.0	280.0	260.0	139.0	125.0	241.0	187.0	267.0	210.0	95.0	57.0	151.0	95.0	164.0	114.0	66.0	89.0	0.0	48.0	229.0	208.0	242.0	0.0	158.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa
421b608bd9127f78b2aaf5c2b958dda4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
f1082c2a262af650786cc4aa32740a1d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
4b4e842744e2ee3505defcd8dc6e6061	0.0	0.0	0.0	0.0	0.0	0.0	72.0	77.0	86.0	0.0	64.0	39.0	36.0	0.0	0.0	0.0	92.0	83.0	82.0	0.0	60.0	124.0	0.0	0.0	68.0	0.0	50.0	0.0	56.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa
a4e3ff368afe7c56c1d975c7fe09071e	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa
4cab0df7abb88b31989680d38a6e8df1	0.0	0.0	0.0	0.0	0.0	0.0	7340.0	5305.0	5045.0	3987.0	10159.0	2654.0	2806.0	4094.0	4639.0	7246.0	7047.0	2713.0	1770.0	2088.0	2892.0	2904.0	511.0	448.0	11745.0	9661.0	2292.0	0.0	8148.0	49.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902
ad7a812323880fdbfb5bb08777efac8e	0.0	0.0	0.0	0.0	0.0	0.0	50.0	108.0	44.0	0.0	41.0	43.0	110.0	0.0	68.0	0.0	58.0	26.0	65.0	70.0	0.0	42.0	0.0	0.0	38.0	81.0	97.0	0.0	102.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313
0b88d6ab6558fa083b79a2c5d6d208e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	382.0	82.0	0.0	0.0	105.0	199.0	192.0	0.0	0.0	60.0	0.0	55.0	0.0	0.0	304.0	216.0	67.0	0.0	281.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Synechococcus CC9902
ab01612534c4cc67db089eb02939250e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	5.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Melainabacteria; D_3__Vampirovibrionales; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
f5a97b8e78aed4fdf0e2b99222c12f53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Phormidesmiales; D_4__Phormidesmiaceae
